Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Kategori
0,Fri Dec 15 04:04:44 +0000 2023,1.7355111797816568e+18,"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",0.0,0,0.0,0.0,in,797761417894051840,1.7351471247347878e+18,MarahIchsan,https://twitter.com/MarahIchsan/status/1735511179781656951,Capres
1,Fri Dec 15 04:04:33 +0000 2023,1.7355111362028134e+18,Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,0.0,0,0.0,0.0,in,936445409605459968,1.7355111362028134e+18,Agung_wiyo,https://twitter.com/Agung_wiyo/status/1735511136202813536,Capres
2,Fri Dec 15 04:04:31 +0000 2023,1.7355111275248517e+18,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,0.0,0,0.0,0.0,in,768652236,1.7355111275248517e+18,Alfakton_i,https://twitter.com/Alfakton_i/status/1735511127524851742,Capres
3,Fri Dec 15 04:04:27 +0000 2023,1.735511110340825e+18,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0.0,0,0.0,0.0,in,1710823909275410432,1.7351458618969254e+18,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410,Capres
4,Fri Dec 15 04:04:26 +0000 2023,1.73551110563054e+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,0.0,0,1.0,1.0,in,1661757337554784264,1.7355111030468936e+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511105630540090,Capres
5,Fri Dec 15 04:04:25 +0000 2023,1.7355111030468936e+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0.0,1,1.0,1.0,in,1661757337554784264,1.7355111030468936e+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580,Capres
6,Fri Dec 15 04:04:15 +0000 2023,1.7355110599252298e+18,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0.0,0,0.0,1.0,in,3157194798,1.735191540715459e+18,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872,Capres
7,Fri Dec 15 04:04:13 +0000 2023,1.7355110493220255e+18,@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,0.0,0,0.0,0.0,in,353739058,1.7354527500022172e+18,MisterMarmut,https://twitter.com/MisterMarmut/status/1735511049322025409,Capres
8,Fri Dec 15 04:04:12 +0000 2023,1.7355110487180452e+18,"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",0.0,0,0.0,0.0,in,1410420836499066883,1.7351535910638144e+18,id_edx,https://twitter.com/id_edx/status/1735511048718045241,Capres
9,Fri Dec 15 04:04:03 +0000 2023,1.7355110081046203e+18,"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",0.0,0,0.0,0.0,in,1596864352174604288,1.7354652135358917e+18,bimasakti_2013,https://twitter.com/bimasakti_2013/status/1735511008104620433,Capres
10,Fri Dec 15 04:04:00 +0000 2023,1.7355109954503887e+18,@strike_bravo_b anaknya anies cakep bener. dua anak capres yang mukanya ga tengil. 😂😂,0.0,0,0.0,1.0,in,743346458871488513,1.735508463508484e+18,FrankSudiro,https://twitter.com/FrankSudiro/status/1735510995450388662,Capres
11,Fri Dec 15 04:03:57 +0000 2023,1.735510983098106e+18,"@detikcom Partai yg mendukung pak Anies juga tdk tahan menjadi oposisi,Nasdem dan PKB tuh msh ada yg jabat mentri dan Imin msh jabat wakil ketua DPRRI nampaknya betah banget dgn kekuasaan,MUNDUR DONG",0.0,0,0.0,0.0,in,1395713255637585923,1.7355099912079365e+18,Budionotaslim3,https://twitter.com/Budionotaslim3/status/1735510983098105976,Capres
12,Fri Dec 15 04:03:57 +0000 2023,1.7355109821125266e+18,@blakcrws @ciroooo17 @abu_mahdzuroh Lah dia juga dulu dukung Prabowo yg lebih liberal dari Anies 🤣  HRS itu lebih ke anti jokowi-pdip sejak kasus ahok 😂,0.0,0,0.0,0.0,in,1587433143724044289,1.73527044957848e+18,milktearoll,https://twitter.com/milktearoll/status/1735510982112526577,Capres
13,Fri Dec 15 04:03:55 +0000 2023,1.7355109769451812e+18,"@zenrs Asli rada hoream euy, ceunah kebebasan berpendapat. Sugan teh geus balik deui jadi Anies era Nurcholis Madjid Memorial Lecture..",0.0,0,0.0,0.0,in,880952622143815680,1.7355000759616184e+18,chandraknows,https://twitter.com/chandraknows/status/1735510976945181142,Capres
14,Fri Dec 15 04:03:53 +0000 2023,1.735510969391231e+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/tRKFoSFe2g,0.0,0,1.0,1.0,in,1661666670648397831,1.7355109666690662e+18,AlirizaOctarina,https://twitter.com/AlirizaOctarina/status/1735510969391231101,Capres
15,Fri Dec 15 04:03:53 +0000 2023,1.7355109666690662e+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/md7FP2HoqF",0.0,1,1.0,1.0,in,1661666670648397831,1.7355109666690662e+18,AlirizaOctarina,https://twitter.com/AlirizaOctarina/status/1735510966669066276,Capres
16,Fri Dec 15 04:03:43 +0000 2023,1.735510926038856e+18,Itu yang bilang Anies modal kata doang tapi pacarannya di Eco Park Tebet musuhin aja,0.0,0,0.0,0.0,in,1014773160011395072,1.735510926038856e+18,visav99,https://twitter.com/visav99/status/1735510926038856059,Capres
17,Fri Dec 15 04:03:41 +0000 2023,1.735510916551381e+18,@imanlagi Tapi sayangnya kebanyakan msh pendukung anies yg dateng mas. Baru yg di lampung kemaren berani bgt.  Tapi ya mereka juga kayaknya bisa dibilang takut sih kalo hadepan lgsg buat desak anies wkwk,0.0,0,0.0,0.0,in,1361747261818949632,1.7355092710000888e+18,dolken234,https://twitter.com/dolken234/status/1735510916551381115,Capres
18,Fri Dec 15 04:03:37 +0000 2023,1.735510898473845e+18,@nur595912246375 @jansen_jsp @PDemokrat Anies dan PKS,0.0,0,0.0,0.0,in,1531651010292199424,1.7352520691568684e+18,Aby_zaky_,https://twitter.com/Aby_zaky_/status/1735510898473844903,Capres
19,Fri Dec 15 04:03:33 +0000 2023,1.73551088516957e+18,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi  https://t.co/eCtiuAJFsg,0.0,0,0.0,0.0,in,788744100,1.73551088516957e+18,Riau24Com,https://twitter.com/Riau24Com/status/1735510885169570172,Capres
20,Fri Dec 15 04:03:31 +0000 2023,1.7355108736520236e+18,"@dhemit_is_back Anies ikut dalam menguburkan Harun tahun 2019, ada beritanya itu. Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya.",0.0,0,0.0,0.0,in,1709037131220611072,1.7355063684745175e+18,nameItAllSarah,https://twitter.com/nameItAllSarah/status/1735510873652023642,Capres
21,Fri Dec 15 04:03:29 +0000 2023,1.7355108660058358e+18,Anies Baswedan menjawab pertanyaan debat dengan bukti nyata kinerja yang sangat memuaskan.,0.0,0,0.0,0.0,in,1698967732455366656,1.7355108660058358e+18,wavetoraln,https://twitter.com/wavetoraln/status/1735510866005835831,Capres
22,Fri Dec 15 04:03:26 +0000 2023,1.7355108553481057e+18,"@kangmaspri @tobenaccro Anies tuh cerdas, terutama soal janji transportasi, jaklingko, dan mau rekrut pak iganisus pula. pemilih dia sudah banyak tadi nya, kurang bijak aja kenapa harus bawa² ulama, Gimana kalo pendeta/pastor/pemimpin agama lain juga di pertimbangkan opini nya? kenapa hanya cuman ulama",0.0,0,0.0,0.0,in,1443581379657093129,1.73547727479815e+18,sofiamarahmarah,https://twitter.com/sofiamarahmarah/status/1735510855348105423,Capres
23,Fri Dec 15 04:03:24 +0000 2023,1.735510845860549e+18,"@Dahnilanzar karakter wowo vs anies jauhlah lah bang....mbok legowo aja..Anies dapat simpati publik meluas sedang wowo sebaliknya.....sesederhana itu dipahaminya....jgn sampai kita jd parasocial relationship disorder""""",0.0,0,0.0,0.0,in,1238501999567486977,1.735228668971254e+18,ahmadba83911331,https://twitter.com/ahmadba83911331/status/1735510845860549115,Capres
24,Fri Dec 15 04:03:23 +0000 2023,1.7355108420731087e+18,"@savicali Kalau kita = ga bisa kerja di bidang nya tapi jago nyindir orang lain, anies?",0.0,0,0.0,0.0,in,36875940,1.7354854188949714e+18,yogi_Halim,https://twitter.com/yogi_Halim/status/1735510842073108772,Capres
25,Fri Dec 15 04:03:20 +0000 2023,1.7355108291336806e+18,"@andre_rosiade Paragraf satu udah dijelasin sama Pa Anies sendiri. Tonton geh videonya. Biar paham konteks. Ape2 ditelen mentah2.  Paragraf kedua, itu namanya pamrih. Katanya paling ikhlas? Ko diungkit lagi? Ko nyapres lagi?  Paragraf ketiga, etika katanya bro awokwokwok mending ngaca dulu dah",0.0,0,0.0,0.0,in,1625477489245171714,1.735204525517177e+18,ontonowhere,https://twitter.com/ontonowhere/status/1735510829133680704,Capres
26,Fri Dec 15 04:03:18 +0000 2023,1.735510818601804e+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/IzWK82Tb4u,0.0,0,1.0,1.0,in,1648504180871684101,1.7355108155315656e+18,dsukinah,https://twitter.com/dsukinah/status/1735510818601804091,Capres
27,Fri Dec 15 04:03:17 +0000 2023,1.7355108155315656e+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/ZHEpLQ7F2a",0.0,1,1.0,1.0,in,1648504180871684101,1.7355108155315656e+18,dsukinah,https://twitter.com/dsukinah/status/1735510815531565456,Capres
28,Fri Dec 15 04:03:15 +0000 2023,1.7355108074700393e+18,"@aldapstsr Oh itu anaknya Anies, emang cantik banget. Senyumnya apalagi",0.0,0,0.0,0.0,in,1641775330263465984,1.735338899130778e+18,jongwonrp,https://twitter.com/jongwonrp/status/1735510807470039380,Capres
29,Fri Dec 15 04:03:14 +0000 2023,1.7355108053603292e+18,Anies selalu berkomitmen untuk mewujudkan perubahan positif demi kebaikan masyarakatnya dan negaranya. https://t.co/TdCz876agg,0.0,0,0.0,0.0,in,1698967732455366656,1.7355108053603292e+18,wavetoraln,https://twitter.com/wavetoraln/status/1735510805360329199,Capres
30,Fri Dec 15 04:03:13 +0000 2023,1.7355107997441065e+18,"Kemenangan Anies di gub DKI, di klaim penuh oleh prabowo dan gerindra, baik dari dukungan dan modal logistik, menurut @andre_rosiade .   Sungguh kesombongan, dengan menghilangkan jasa2 dari partai2 lain, relawan2 dan rakyat DKI di pilgub DKI. Mereka lebih berjasa",0.0,0,0.0,0.0,in,145959630,1.7355107997441065e+18,seven7_7up,https://twitter.com/seven7_7up/status/1735510799744106523,Capres
31,Fri Dec 15 04:03:12 +0000 2023,1.7355107964138537e+18,"Selama masa jabatannya sebagai Gubernur, Anies  telah memimpin berbagai proyekpembangunan untuk kesejahteraan rakyatnya.",0.0,0,0.0,0.0,in,1698967732455366656,1.7355107964138537e+18,wavetoraln,https://twitter.com/wavetoraln/status/1735510796413853742,Capres
32,Fri Dec 15 04:03:07 +0000 2023,1.7355107756729958e+18,Anies Baswedan mengajak warganya untuk menunjukkan kekuatan bangsa dengan semangat perjuangan.,0.0,0,0.0,0.0,in,1698967732455366656,1.7355107756729958e+18,wavetoraln,https://twitter.com/wavetoraln/status/1735510775672995960,Capres
33,Fri Dec 15 04:03:02 +0000 2023,1.7355107517655578e+18,Pemikiran Anies dalam debat perdananya Tidak sedikit yang mampu menciptakan perubahan positif di masyarakat.,0.0,0,0.0,0.0,in,1698967732455366656,1.7355107517655578e+18,wavetoraln,https://twitter.com/wavetoraln/status/1735510751765557661,Capres
34,Fri Dec 15 04:03:01 +0000 2023,1.7355107496137897e+18,"@ndaphie8 @ekowboy2 Anies angkat alis nggak ada,dan nggak pernah yg ada itu menggunakan fakedeep AI🤣🤣🤣🤣dasar para buzzer polri sukanya buat fitnah",0.0,0,0.0,0.0,in,3006251442,1.7352420898884652e+18,zainalarifin083,https://twitter.com/zainalarifin083/status/1735510749613789569,Capres
35,Fri Dec 15 04:02:58 +0000 2023,1.7355107350470413e+18,2019 anies jd gubernur dan ikut pilpres krn ada prabowo. 2024 anies dicalonkan nasdem apa salahnya? Nasdem jeli krn negara butuh sosok seperti anies dan rakyat INGIN PERUBAHAN untuk KEADILAN SOSIAL BAGI SELURUH RAKYAT INDONESIA.  #2024ANIESIMIN #2024ANIESIMIN,0.0,0,0.0,0.0,in,1543593106171625473,1.7355107350470413e+18,Adam03072022,https://twitter.com/Adam03072022/status/1735510735047041283,Capres
